ZAWODNIK,KLUB,GOLE,ASYSTY,KANADYJSKA,G rez,AS rez,G 1-0/0-1,2.AS,KAN+2.AS
Serhij Krykun,Górnik Łęczna,0,1,1,0,0,0,2,3
Mateusz Kuzimski,Warta Poznań,1,0,1,1,0,1,1,2
Patryk Czarnowski,Bruk-Bet,1,0,1,1,0,0,0,1
Karol Knap,Cracovia,0,1,1,0,0,0,2,3
Mickey van der Hart,Lech Poznań,0,1,1,0,0,0,2,3
Kacper Smoliński,Pogoń Szczecin,0,1,1,0,0,0,0,1
Michał Kaput,Radomiak/Piast,0,1,1,0,0,0,3,4
Maciej Orłowski,Górnik Łęczna,0,1,1,0,0,0,0,1
Ian Soler,Zagłębie Lubin,0,1,1,0,0,0,0,1
Radosław Murawski,Lech Poznań,1,0,1,0,0,0,2,3
Ihor Charatin,Legia Warszawa,1,0,1,1,0,0,0,1
Ilja Żygulow,Zagłębie Lubin,0,1,1,0,0,0,1,2
Szymon Lewkot,Śląsk Wrocław,1,0,1,0,0,0,1,2
Michael Ameyaw,Piast Gliwice,1,0,1,1,0,0,1,2
Tiago Matos,Radomiak Radom,1,0,1,1,0,0,0,1
Konrad Wrzesiński,Stal Mielec,1,0,1,1,0,0,1,2
Paweł Stolarski,Pogoń Szczecin,0,1,1,0,0,0,1,2
Luis Rocha,Cracovia,0,1,1,0,1,0,1,2
Marcin Flis,Stal Mielec,1,0,1,0,0,0,3,4
Dawid Kort,Stal Mielec,0,1,1,0,1,0,1,2
Bartosz Rymaniak,Górnik Łęczna,0,1,1,0,0,0,0,1
Dusan Lagator,Wisła Płock,1,0,1,0,0,0,0,1
Damian Zbozień,Wisła Płock,0,1,1,0,0,0,2,3
Nemanja Tekijaski,Bruk-Bet,1,0,1,0,0,0,2,3
Nikola Stojiljković,Piast Gliwice,1,0,1,1,0,0,0,1
Martin Zeman,Bruk-Bet,0,1,1,0,1,0,1,2
Artur Bogusz,Radomiak Radom,1,0,1,1,0,0,0,1
Adam Hlousek,Bruk-Bet,0,1,1,0,0,0,1,2
Roman Gergel,Bruk-Bet,0,1,1,0,0,0,1,2
Andrzej Trubeha,Jagiellonia,1,0,1,1,0,0,1,2
Patryk Janasik,Śląsk Wrocław,1,0,1,0,0,0,2,3
Bassekou Diabate,Lechia Gdańsk,0,1,1,0,0,0,4,5
Radosław Cielemęcki,Wisła Płock,1,0,1,0,0,1,0,1
