ZAWODNIK,KLUB,L % celn,P % celn,G % celn,R,R celn,% R celn,R Gole,Strzały/gol,GOL/R,KP
Marcin Urynowicz,Górnik Zabrze,-,"40,0%","100,0%",6,3,"50,0%",1,"6,00","16,7%",3
Patryk Małecki,Wisła Kraków,"25,0%","100,0%","0,0%",7,3,"42,9%",0,-,"0,0%",6
Władisław Sirotow,Zagłębie Lubin,"60,0%","0,0%","0,0%",7,3,"42,9%",0,-,"0,0%",1
Jakub Wójcicki,Jagiellonia,"33,3%","50,0%",-,7,3,"42,9%",1,"7,00","14,3%",14
Marcin Wasielewski,Lech Poznań,"40,0%","100,0%","0,0%",7,3,"42,9%",1,"7,00","14,3%",8
Dejan Vokić,Zagłębie Sosnowiec,"25,0%","50,0%","100,0%",7,3,"42,9%",0,-,"0,0%",3
Grzegorz Bartczak,Miedź Legnica,"0,0%","33,3%","50,0%",8,3,"37,5%",0,-,"0,0%",3
Lukas Klemenz,Jagiellonia/Wisła K,-,"33,3%","40,0%",8,3,"37,5%",1,"8,00","12,5%",0
Nemanja Mitrović,Jagiellonia,-,"50,0%","25,0%",8,3,"37,5%",1,"8,00","12,5%",2
Thomas Rogne,Lech Poznań,"100,0%","100,0%","0,0%",9,3,"33,3%",1,"9,00","11,1%",2
Tymoteusz Klupś,Lech Poznań,"50,0%","28,6%",-,9,3,"33,3%",1,"9,00","11,1%",10
Aleksander Jagiełło,Piast Gliwice,"25,0%","33,3%",-,11,3,"27,3%",0,-,"0,0%",8
Dorde Cotra,Śląsk Wrocław,"27,3%",-,-,11,3,"27,3%",1,"11,00","9,1%",12
Maciej Ambrosiewicz,Górnik Zabrze,"16,7%","33,3%",-,12,3,"25,0%",0,-,"0,0%",8
David Stec,Pogoń Szczecin,"40,0%","0,0%","50,0%",12,3,"25,0%",0,-,"0,0%",15
Szymon Matuszek,Górnik Zabrze,"0,0%","0,0%","33,3%",12,3,"25,0%",0,-,"0,0%",6
Alen Stevanović,Wisła Płock,"33,3%","22,2%",-,12,3,"25,0%",1,"12,00","8,3%",6
Rafał Wolski,Lechia Gdańsk,"42,9%","0,0%",-,13,3,"23,1%",1,"13,00","7,7%",6
Farshad Ahmadzadeh,Śląsk Wrocław,"11,1%","40,0%","0,0%",16,3,"18,8%",1,"16,00","6,3%",23
Jakub Arak,Lechia Gdańsk,"50,0%","0,0%","11,1%",16,3,"18,8%",1,"16,00","6,3%",11
Robert Gumny,Lech Poznań,"0,0%","12,5%","33,3%",16,3,"18,8%",1,"16,00","6,3%",9
Tomasz Makowski,Lechia Gdańsk,"66,7%","7,7%","0,0%",17,3,"17,6%",0,-,"0,0%",10
Błażej Augustyn,Lechia Gdańsk,"0,0%","14,3%","11,1%",18,3,"16,7%",2,"9,00","11,1%",9
Daniel Łukasik,Lechia Gdańsk,"25,0%","14,3%",-,18,3,"16,7%",1,"18,00","5,6%",17
Igors Tarasovs,Śląsk Wrocław,"0,0%","11,1%","33,3%",18,3,"16,7%",1,"18,00","5,6%",5
Janusz Gol,Cracovia,"0,0%","27,3%","0,0%",19,3,"15,8%",0,-,"0,0%",34
Junior Torunarigha,Zagłębie Sosnowiec,-,"50,0%","100,0%",3,2,"66,7%",0,-,"0,0%",0
Filip Marchwiński,Lech Poznań,"0,0%","100,0%",-,3,2,"66,7%",2,"1,50","66,7%",4
Mateusz Żukowski,Lechia Gdańsk,"100,0%","50,0%",-,3,2,"66,7%",0,-,"0,0%",1
