ZAWODNIK,KLUB,ŻK,CZK BEZP,CZK,żk faul,czk faul,żk ręka,żk rywal,żk sędzia,żk czas,żk syml,żk ciesz,żk inne,czk ręka,czk rywal,czk inne,czk sędzia
Łukasz Broź,Legia Warszawa,3,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0
Mauricio,Legia Warszawa,3,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0
Thibault Moulin,Legia Warszawa,3,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0
Dariusz Formella,Pogoń Szczecin,3,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0
Dawid Kort,Pogoń Szczecin,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
Sebastian Kowalczyk,Pogoń Szczecin,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
Sebastian Rudol,Pogoń Szczecin,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
Spas Delew,Pogoń Szczecin,3,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0
Lukas Kubań,Sandecja,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
Wojciech Trochim,Sandecja,3,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0
Piotr Celeban,Śląsk Wrocław,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
Robert Pich,Śląsk Wrocław,3,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0
Jesus Imaz,Wisła Kraków,3,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0
Julian Cuesta,Wisła Kraków,3,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0
Marcin Wasilewski,Wisła Kraków,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
Tibor Halilović,Wisła Kraków,3,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0
Tomasz Cywka,Wisła Kraków,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
Adam Dźwigała,Wisła Płock,3,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0
Arkadiusz Reca,Wisła Płock,3,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0
Patryk Stępiński,Wisła Płock,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
Alan Czerwiński,Zagłębie Lubin,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
Aleksandar Todorovski,Zagłębie Lubin,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
Daniel Dziwniel,Zagłębie Lubin,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
Filip Jagiełło,Zagłębie Lubin,3,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0
